order_id,client_id,order_date,sku_ordered,quantity,order_status,total_amount
ORD-00043,CLI-0021,2025-04-03,SKU-018,239,Completed,10862.550000000001
ORD-00044,CLI-0046,2025-04-03,SKU-H01,157,Completed,2507.29
ORD-00045,CLI-0086,2025-04-03,SKU-005,186,Completed,33933.84
ORD-00046,CLI-0090,2025-04-03,SKU-015,399,Completed,52009.649999999994
ORD-00047,CLI-0083,2025-04-03,SKU-010,86,Completed,2118.18
ORD-00048,CLI-0078,2025-04-03,SKU-012,375,Completed,15236.250000000002
ORD-00049,CLI-0022,2025-04-03,SKU-H01,323,Completed,5158.31
ORD-00050,CLI-0094,2025-04-03,SKU-006,175,Completed,10039.75
ORD-00051,CLI-0021,2025-04-03,SKU-011,286,Completed,18604.3
ORD-00052,CLI-0049,2025-04-03,SKU-H01,188,Completed,3002.36
ORD-00053,CLI-0082,2025-04-03,SKU-H01,402,Completed,6419.9400000000005
ORD-00054,CLI-0072,2025-04-03,SKU-019,162,Completed,29093.58
ORD-00055,CLI-0088,2025-04-03,SKU-005,216,Completed,39407.04
ORD-00056,CLI-0099,2025-04-03,SKU-H01,447,Completed,7138.59
ORD-00057,CLI-0008,2025-04-03,SKU-Z99,167,Completed,83500.0
ORD-00058,CLI-0005,2025-04-03,SKU-019,462,Completed,82970.58
ORD-00059,CLI-0041,2025-04-03,SKU-006,255,Completed,14629.349999999999
ORD-00060,CLI-0035,2025-04-03,SKU-016,83,Completed,14573.140000000001
ORD-00061,CLI-0028,2025-04-03,SKU-H01,340,Completed,5429.8
ORD-00062,CLI-0092,2025-04-03,SKU-H01,211,Completed,3369.67
ORD-00063,CLI-0028,2025-04-03,SKU-011,385,Completed,25044.25
ORD-00064,CLI-0051,2025-04-04,SKU-015,379,Completed,49402.65
ORD-00065,CLI-0059,2025-04-04,SKU-015,123,Completed,16033.05
ORD-00066,CLI-0034,2025-04-04,SKU-002,121,Completed,15841.319999999998
ORD-00067,CLI-0032,2025-04-04,SKU-016,431,Completed,75674.98000000001
ORD-00068,CLI-0072,2025-04-04,SKU-015,325,Completed,42363.75
ORD-00069,CLI-0034,2025-04-04,SKU-018,432,Completed,19634.4
ORD-00070,CLI-0075,2025-04-04,SKU-013,269,Completed,50206.159999999996
ORD-00071,CLI-0075,2025-04-04,SKU-010,254,Completed,6256.0199999999995
ORD-00072,CLI-0047,2025-04-04,SKU-007,162,Completed,14251.14
ORD-00073,CLI-0018,2025-04-04,SKU-H01,310,Completed,4950.7
ORD-00074,CLI-0064,2025-04-04,SKU-018,96,Completed,4363.200000000001
ORD-00075,CLI-0097,2025-04-04,SKU-019,74,Completed,13289.66
ORD-00076,CLI-0015,2025-04-04,SKU-H01,128,Completed,2044.16
ORD-00077,CLI-0081,2025-04-04,SKU-H01,131,Completed,2092.07
ORD-00078,CLI-0088,2025-04-04,SKU-004,266,Completed,28363.579999999998
ORD-00079,CLI-0077,2025-04-04,SKU-003,82,Completed,5717.860000000001
ORD-00080,CLI-0050,2025-04-04,SKU-Z99,245,Completed,122500.0
ORD-00081,CLI-0077,2025-04-04,SKU-H01,289,Completed,4615.33
ORD-00082,CLI-0068,2025-04-04,SKU-H01,178,Completed,2842.6600000000003
ORD-00083,CLI-0071,2025-04-04,SKU-004,490,Completed,52248.7
ORD-00084,CLI-0002,2025-04-04,SKU-H01,398,Completed,6356.06
ORD-00085,CLI-0093,2025-04-04,SKU-H01,108,Completed,1724.76
ORD-00086,CLI-0088,2025-04-04,SKU-012,324,Completed,13164.12
ORD-00087,CLI-0097,2025-04-04,SKU-011,186,Completed,12099.3
ORD-00088,CLI-0099,2025-04-04,SKU-H01,378,Completed,6036.66
ORD-00089,CLI-0015,2025-04-05,SKU-006,200,Completed,11474.0
ORD-00090,CLI-0056,2025-04-05,SKU-005,130,Completed,23717.2
ORD-00091,CLI-0059,2025-04-05,SKU-009,51,Completed,2726.97
ORD-00092,CLI-0093,2025-04-05,SKU-H01,498,Completed,7953.06
ORD-00093,CLI-0093,2025-04-05,SKU-007,184,Completed,16186.48
ORD-00094,CLI-0065,2025-04-05,SKU-019,440,Completed,79019.6
ORD-00095,CLI-0023,2025-04-05,SKU-004,309,Completed,32948.67
ORD-00096,CLI-0014,2025-04-05,SKU-017,495,Completed,80536.5
ORD-00097,CLI-0081,2025-04-05,SKU-003,202,Completed,14085.460000000001
ORD-00098,CLI-0082,2025-04-05,SKU-H01,309,Completed,4934.7300000000005
ORD-00099,CLI-0078,2025-04-05,SKU-009,151,Completed,8073.97
ORD-00100,CLI-0020,2025-04-05,SKU-010,241,Completed,5935.83
ORD-00101,CLI-0098,2025-04-05,SKU-016,132,Completed,23176.56
ORD-00102,CLI-0070,2025-04-05,SKU-H01,448,Completed,7154.56
ORD-00103,CLI-0068,2025-04-05,SKU-005,50,Completed,9122.0
ORD-00104,CLI-0077,2025-04-05,SKU-007,215,Completed,18913.55
ORD-00105,CLI-0063,2025-04-05,SKU-013,59,Completed,11011.759999999998
ORD-00106,CLI-0015,2025-04-05,SKU-H01,235,Completed,3752.9500000000003
ORD-00107,CLI-0040,2025-04-05,SKU-Z99,172,Completed,86000.0
ORD-00108,CLI-0008,2025-04-05,SKU-004,173,Completed,18446.989999999998
ORD-00109,CLI-0011,2025-04-06,SKU-H01,93,Completed,1485.21
ORD-00110,CLI-0094,2025-04-06,SKU-016,298,Completed,52322.840000000004
ORD-00111,CLI-0009,2025-04-06,SKU-012,439,Completed,17836.57
ORD-00112,CLI-0069,2025-04-06,SKU-018,442,Completed,20088.9
ORD-00113,CLI-0017,2025-04-06,SKU-H01,115,Completed,1836.5500000000002
ORD-00114,CLI-0085,2025-04-06,SKU-006,293,Completed,16809.41
ORD-00115,CLI-0071,2025-04-06,SKU-007,134,Completed,11787.98
ORD-00116,CLI-0034,2025-04-06,SKU-019,320,Completed,57468.8
ORD-00117,CLI-0078,2025-04-06,SKU-H01,266,Completed,4248.02
ORD-00118,CLI-0028,2025-04-06,SKU-H01,326,Completed,5206.22
ORD-00119,CLI-0097,2025-04-06,SKU-H01,423,Completed,6755.31
ORD-00120,CLI-0089,2025-04-06,SKU-H01,152,Completed,2427.44
ORD-00121,CLI-0092,2025-04-06,SKU-004,209,Completed,22285.67
ORD-00122,CLI-0052,2025-04-06,SKU-H01,393,Completed,6276.21
ORD-00123,CLI-0084,2025-04-06,SKU-H01,241,Completed,3848.77
ORD-00124,CLI-0057,2025-04-06,SKU-015,314,Completed,40929.9
ORD-00125,CLI-0058,2025-04-06,SKU-018,111,Completed,5044.950000000001
ORD-00126,CLI-0032,2025-04-06,SKU-H01,165,Completed,2635.05
ORD-00127,CLI-0009,2025-04-06,SKU-H01,223,Completed,3561.31
ORD-00128,CLI-0003,2025-04-06,SKU-010,351,Completed,8645.13
ORD-00129,CLI-0071,2025-04-06,SKU-H01,167,Completed,2666.9900000000002
ORD-00130,CLI-0076,2025-04-06,SKU-H01,162,Completed,2587.1400000000003
ORD-00131,CLI-0001,2025-04-06,SKU-H01,86,Completed,1373.42
ORD-00132,CLI-0091,2025-04-06,SKU-H01,373,Completed,5956.81
ORD-00133,CLI-0008,2025-04-06,SKU-015,167,Completed,21768.45
ORD-00134,CLI-0009,2025-04-06,SKU-H01,66,Completed,1054.02
ORD-00135,CLI-0043,2025-04-06,SKU-011,86,Completed,5594.3
ORD-00136,CLI-0066,2025-04-06,SKU-006,171,Completed,9810.27
ORD-00137,CLI-0086,2025-04-07,SKU-H01,298,Completed,4759.06
ORD-00138,CLI-0028,2025-04-07,SKU-002,326,Completed,42679.92
ORD-00139,CLI-0017,2025-04-07,SKU-H01,420,Completed,6707.400000000001
ORD-00140,CLI-0074,2025-04-07,SKU-008,345,Completed,52974.75000000001
ORD-00141,CLI-0061,2025-04-07,SKU-H01,174,Completed,2778.78
ORD-00142,CLI-0061,2025-04-07,SKU-H01,463,Completed,7394.110000000001
ORD-00143,CLI-0053,2025-04-07,SKU-008,147,Completed,22571.850000000002
ORD-00144,CLI-0013,2025-04-07,SKU-H01,99,Completed,1581.03
ORD-00145,CLI-0085,2025-04-07,SKU-H01,270,Completed,4311.900000000001
ORD-00146,CLI-0046,2025-04-07,SKU-H01,266,Completed,4248.02
ORD-00147,CLI-0053,2025-04-07,SKU-H01,289,Completed,4615.33
ORD-00148,CLI-0094,2025-04-07,SKU-016,77,Completed,13519.660000000002
ORD-00149,CLI-0087,2025-04-07,SKU-H01,384,Completed,6132.4800000000005
ORD-00150,CLI-0083,2025-04-07,SKU-007,100,Completed,8797.0
ORD-00151,CLI-0008,2025-04-07,SKU-003,256,Completed,17850.88
ORD-00152,CLI-0094,2025-04-07,SKU-010,223,Completed,5492.49
ORD-00153,CLI-0014,2025-04-07,SKU-H01,177,Completed,2826.69
ORD-00154,CLI-0025,2025-04-07,SKU-H01,147,Completed,2347.59
ORD-00155,CLI-0058,2025-04-08,SKU-019,121,Completed,21730.39
ORD-00156,CLI-0055,2025-04-08,SKU-015,143,Completed,18640.05
ORD-00157,CLI-0036,2025-04-08,SKU-016,286,Completed,50215.880000000005
ORD-00158,CLI-0032,2025-04-08,SKU-H01,497,Completed,7937.09
ORD-00159,CLI-0010,2025-04-08,SKU-H01,276,Completed,4407.72
ORD-00160,CLI-0071,2025-04-08,SKU-H01,100,Completed,1597.0
ORD-00161,CLI-0007,2025-04-08,SKU-006,383,Completed,21972.71
ORD-00162,CLI-0070,2025-04-08,SKU-H01,478,Completed,7633.66
ORD-00163,CLI-0002,2025-04-08,SKU-015,97,Completed,12643.949999999999
ORD-00164,CLI-0097,2025-04-08,SKU-H01,484,Completed,7729.4800000000005
ORD-00165,CLI-0031,2025-04-08,SKU-019,135,Completed,24244.65
ORD-00166,CLI-0053,2025-04-08,SKU-003,298,Completed,20779.54
ORD-00167,CLI-0062,2025-04-08,SKU-015,159,Completed,20725.649999999998
ORD-00168,CLI-0052,2025-04-08,SKU-H01,80,Completed,1277.6000000000001
ORD-00169,CLI-0022,2025-04-08,SKU-002,244,Completed,31944.479999999996
ORD-00170,CLI-0001,2025-04-08,SKU-011,249,Completed,16197.449999999999
ORD-00171,CLI-0034,2025-04-08,SKU-H01,451,Completed,7202.47
ORD-00172,CLI-0059,2025-04-08,SKU-H01,196,Completed,3130.1200000000003
ORD-00173,CLI-0055,2025-04-08,SKU-019,406,Completed,72913.54000000001
ORD-00174,CLI-0094,2025-04-08,SKU-011,451,Completed,29337.55
ORD-00175,CLI-0072,2025-04-08,SKU-H01,388,Completed,6196.360000000001
ORD-00176,CLI-0092,2025-04-08,SKU-H01,299,Completed,4775.03
ORD-00177,CLI-0020,2025-04-08,SKU-003,147,Completed,10250.310000000001
ORD-00178,CLI-0038,2025-04-08,SKU-012,161,Completed,6541.43
ORD-00179,CLI-0008,2025-04-08,SKU-H01,346,Completed,5525.62
ORD-00180,CLI-0095,2025-04-08,SKU-H01,327,Completed,5222.1900000000005
ORD-00181,CLI-0008,2025-04-08,SKU-H01,432,Completed,6899.04
ORD-00182,CLI-0008,2025-04-09,SKU-002,75,Completed,9818.999999999998
ORD-00183,CLI-0075,2025-04-09,SKU-010,294,Completed,7241.219999999999
ORD-00184,CLI-0065,2025-04-09,SKU-H01,486,Completed,7761.42
ORD-00185,CLI-0068,2025-04-09,SKU-017,130,Completed,21151.0
ORD-00186,CLI-0008,2025-04-09,SKU-003,310,Completed,21616.300000000003
ORD-00187,CLI-0011,2025-04-09,SKU-H01,485,Completed,7745.450000000001
ORD-00188,CLI-0024,2025-04-09,SKU-H01,85,Completed,1357.45
ORD-00189,CLI-0077,2025-04-09,SKU-H01,84,Completed,1341.48
ORD-00190,CLI-0087,2025-04-09,SKU-018,491,Completed,22315.95
ORD-00191,CLI-0031,2025-04-09,SKU-009,256,Completed,13688.32
ORD-00192,CLI-0016,2025-04-09,SKU-005,341,Completed,62212.04
ORD-00193,CLI-0032,2025-04-09,SKU-009,346,Completed,18500.62
ORD-00194,CLI-0077,2025-04-09,SKU-003,70,Completed,4881.1
ORD-00195,CLI-0080,2025-04-09,SKU-012,91,Completed,3697.3300000000004
ORD-00196,CLI-0054,2025-04-09,SKU-H01,386,Completed,6164.42
ORD-00197,CLI-0075,2025-04-09,SKU-007,339,Completed,29821.829999999998
ORD-00198,CLI-0067,2025-04-09,SKU-H01,211,Completed,3369.67
ORD-00199,CLI-0034,2025-04-09,SKU-H01,154,Completed,2459.38
ORD-00200,CLI-0086,2025-04-09,SKU-H01,416,Completed,6643.52
ORD-00201,CLI-0041,2025-04-09,SKU-H01,172,Completed,2746.84
ORD-00202,CLI-0051,2025-04-10,SKU-H01,117,Completed,1868.49
ORD-00203,CLI-0086,2025-04-10,SKU-H01,380,Completed,6068.6
ORD-00204,CLI-0039,2025-04-10,SKU-019,284,Completed,51003.56
ORD-00205,CLI-0041,2025-04-10,SKU-H01,434,Completed,6930.9800000000005
ORD-00206,CLI-0010,2025-04-10,SKU-H01,54,Completed,862.38
ORD-00207,CLI-0059,2025-04-10,SKU-013,368,Completed,68683.51999999999
ORD-00208,CLI-0073,2025-04-10,SKU-014,101,Completed,16517.54
ORD-00209,CLI-0010,2025-04-10,SKU-H01,325,Completed,5190.25
ORD-00210,CLI-0028,2025-04-10,SKU-003,309,Completed,21546.57
ORD-00211,CLI-0034,2025-04-10,SKU-009,117,Completed,6255.99
ORD-00212,CLI-0045,2025-04-10,SKU-H01,85,Completed,1357.45
ORD-00213,CLI-0032,2025-04-10,SKU-018,239,Completed,10862.550000000001
ORD-00214,CLI-0037,2025-04-10,SKU-016,130,Completed,22825.4
ORD-00215,CLI-0057,2025-04-10,SKU-H01,476,Completed,7601.72
ORD-00216,CLI-0070,2025-04-10,SKU-H01,410,Completed,6547.7
ORD-00217,CLI-0039,2025-04-10,SKU-018,363,Completed,16498.350000000002
ORD-00218,CLI-0084,2025-04-10,SKU-005,320,Completed,58380.8
ORD-00219,CLI-0002,2025-04-10,SKU-006,391,Completed,22431.67
ORD-00220,CLI-0039,2025-04-11,SKU-010,389,Completed,9581.07
ORD-00221,CLI-0014,2025-04-11,SKU-008,499,Completed,76621.45000000001
ORD-00222,CLI-0018,2025-04-11,SKU-018,185,Completed,8408.25
ORD-00223,CLI-0015,2025-04-11,SKU-018,104,Completed,4726.8
ORD-00224,CLI-0096,2025-04-11,SKU-016,333,Completed,58468.14000000001
ORD-00225,CLI-0020,2025-04-11,SKU-009,189,Completed,10105.83
ORD-00226,CLI-0037,2025-04-11,SKU-014,359,Completed,58710.86
ORD-00227,CLI-0027,2025-04-11,SKU-010,417,Completed,10270.71
ORD-00228,CLI-0044,2025-04-11,SKU-007,154,Completed,13547.38
ORD-00229,CLI-0088,2025-04-11,SKU-H01,374,Completed,5972.780000000001
ORD-00230,CLI-0034,2025-04-11,SKU-014,308,Completed,50370.32
ORD-00231,CLI-0063,2025-04-11,SKU-014,178,Completed,29110.12
ORD-00232,CLI-0007,2025-04-11,SKU-008,97,Completed,14894.35
ORD-00233,CLI-0082,2025-04-11,SKU-014,266,Completed,43501.64
ORD-00234,CLI-0036,2025-04-11,SKU-009,72,Completed,3849.84
ORD-00235,CLI-0001,2025-04-11,SKU-H01,220,Completed,3513.4
ORD-00236,CLI-0099,2025-04-11,SKU-H01,116,Completed,1852.52
ORD-00237,CLI-0082,2025-04-11,SKU-H01,184,Completed,2938.48
ORD-00238,CLI-0021,2025-04-11,SKU-H01,429,Completed,6851.13
ORD-00239,CLI-0057,2025-04-11,SKU-H01,332,Completed,5302.04
ORD-00240,CLI-0091,2025-04-11,SKU-008,268,Completed,41151.4
ORD-00241,CLI-0072,2025-04-11,SKU-H01,54,Completed,862.38
ORD-00242,CLI-0015,2025-04-11,SKU-009,88,Completed,4705.36
ORD-00243,CLI-0089,2025-04-11,SKU-H01,126,Completed,2012.22
ORD-00244,CLI-0070,2025-04-11,SKU-010,68,Completed,1674.84
ORD-00245,CLI-0048,2025-04-11,SKU-H01,348,Completed,5557.56
ORD-00246,CLI-0071,2025-04-11,SKU-H01,125,Completed,1996.25
ORD-00247,CLI-0017,2025-04-12,SKU-004,71,Completed,7570.73
ORD-00248,CLI-0040,2025-04-12,SKU-010,236,Completed,5812.679999999999
ORD-00249,CLI-0006,2025-04-12,SKU-H01,233,Completed,3721.01
ORD-00250,CLI-0027,2025-04-12,SKU-018,399,Completed,18134.550000000003
ORD-00251,CLI-0032,2025-04-12,SKU-H01,391,Completed,6244.27
ORD-00252,CLI-0014,2025-04-12,SKU-002,231,Completed,30242.519999999997
ORD-00253,CLI-0100,2025-04-12,SKU-019,336,Completed,60342.24
ORD-00254,CLI-0053,2025-04-12,SKU-006,367,Completed,21054.79
ORD-00255,CLI-0096,2025-04-12,SKU-002,129,Completed,16888.679999999997
ORD-00256,CLI-0031,2025-04-12,SKU-007,492,Completed,43281.24
ORD-00257,CLI-0021,2025-04-12,SKU-007,459,Completed,40378.229999999996
ORD-00258,CLI-0023,2025-04-12,SKU-012,261,Completed,10604.43
ORD-00259,CLI-0004,2025-04-12,SKU-H01,141,Completed,2251.77
ORD-00260,CLI-0095,2025-04-12,SKU-H01,220,Completed,3513.4
ORD-00261,CLI-0053,2025-04-12,SKU-007,460,Completed,40466.2
ORD-00262,CLI-0086,2025-04-12,SKU-016,492,Completed,86385.36
ORD-00263,CLI-0095,2025-04-12,SKU-006,465,Completed,26677.05
ORD-00264,CLI-0032,2025-04-12,SKU-H01,186,Completed,2970.42
ORD-00265,CLI-0021,2025-04-12,SKU-010,453,Completed,11157.39
ORD-00266,CLI-0090,2025-04-12,SKU-012,105,Completed,4266.150000000001
ORD-00267,CLI-0049,2025-04-12,SKU-H01,496,Completed,7921.12
ORD-00268,CLI-0005,2025-04-12,SKU-H01,489,Completed,7809.33
ORD-00269,CLI-0061,2025-04-12,SKU-006,163,Completed,9351.31
ORD-00270,CLI-0059,2025-04-13,SKU-004,229,Completed,24418.27
ORD-00271,CLI-0040,2025-04-13,SKU-H01,470,Completed,7505.900000000001
ORD-00272,CLI-0030,2025-04-13,SKU-H01,164,Completed,2619.08
ORD-00273,CLI-0004,2025-04-13,SKU-H01,387,Completed,6180.39
ORD-00274,CLI-0025,2025-04-13,SKU-H01,254,Completed,4056.38
ORD-00275,CLI-0043,2025-04-13,SKU-019,192,Completed,34481.28
ORD-00276,CLI-0009,2025-04-13,SKU-015,445,Completed,58005.75
ORD-00277,CLI-0036,2025-04-13,SKU-H01,229,Completed,3657.13
ORD-00278,CLI-0083,2025-04-13,SKU-018,310,Completed,14089.5
ORD-00279,CLI-0052,2025-04-13,SKU-010,397,Completed,9778.109999999999
ORD-00280,CLI-0069,2025-04-13,SKU-004,219,Completed,23351.969999999998
ORD-00281,CLI-0004,2025-04-13,SKU-004,109,Completed,11622.67
ORD-00282,CLI-0034,2025-04-13,SKU-H01,141,Completed,2251.77
ORD-00283,CLI-0075,2025-04-13,SKU-H01,185,Completed,2954.4500000000003
ORD-00284,CLI-0005,2025-04-13,SKU-008,105,Completed,16122.750000000002
ORD-00285,CLI-0077,2025-04-13,SKU-006,272,Completed,15604.64
ORD-00286,CLI-0094,2025-04-14,SKU-H01,452,Completed,7218.4400000000005
ORD-00287,CLI-0041,2025-04-14,SKU-018,273,Completed,12407.85
ORD-00288,CLI-0078,2025-04-14,SKU-013,311,Completed,58045.03999999999
ORD-00289,CLI-0015,2025-04-14,SKU-H01,247,Completed,3944.59
ORD-00290,CLI-0074,2025-04-14,SKU-018,147,Completed,6681.150000000001
ORD-00291,CLI-0033,2025-04-14,SKU-019,72,Completed,12930.48
ORD-00292,CLI-0091,2025-04-14,SKU-Z99,273,Completed,136500.0
ORD-00293,CLI-0001,2025-04-14,SKU-H01,316,Completed,5046.52
ORD-00294,CLI-0069,2025-04-14,SKU-012,401,Completed,16292.630000000001
ORD-00295,CLI-0093,2025-04-14,SKU-006,429,Completed,24611.73
ORD-00296,CLI-0095,2025-04-14,SKU-011,393,Completed,25564.649999999998
ORD-00297,CLI-0026,2025-04-14,SKU-019,236,Completed,42383.24
ORD-00298,CLI-0056,2025-04-14,SKU-010,85,Completed,2093.5499999999997
ORD-00299,CLI-0086,2025-04-14,SKU-015,219,Completed,28546.649999999998
ORD-00300,CLI-0080,2025-04-14,SKU-016,210,Completed,36871.8
ORD-00301,CLI-0085,2025-04-14,SKU-015,484,Completed,63089.399999999994
ORD-00302,CLI-0016,2025-04-14,SKU-002,418,Completed,54724.56
ORD-00303,CLI-0039,2025-04-14,SKU-H01,309,Completed,4934.7300000000005
ORD-00304,CLI-0040,2025-04-14,SKU-H01,391,Completed,6244.27
ORD-00305,CLI-0053,2025-04-14,SKU-017,217,Completed,35305.899999999994
ORD-00306,CLI-0052,2025-04-14,SKU-H01,406,Completed,6483.820000000001
ORD-00307,CLI-0071,2025-04-15,SKU-005,115,Completed,20980.6
ORD-00308,CLI-0025,2025-04-15,SKU-H01,265,Completed,4232.05
ORD-00309,CLI-0086,2025-04-15,SKU-007,244,Completed,21464.68
ORD-00310,CLI-0087,2025-04-15,SKU-016,433,Completed,76026.14
ORD-00311,CLI-0023,2025-04-15,SKU-016,365,Completed,64086.700000000004
ORD-00312,CLI-0073,2025-04-15,SKU-H01,204,Completed,3257.88
ORD-00313,CLI-0052,2025-04-15,SKU-017,330,Completed,53690.99999999999
ORD-00314,CLI-0001,2025-04-15,SKU-007,205,Completed,18033.85
ORD-00315,CLI-0037,2025-04-15,SKU-H01,157,Completed,2507.29
ORD-00316,CLI-0056,2025-04-15,SKU-011,452,Completed,29402.6
ORD-00317,CLI-0075,2025-04-15,SKU-004,360,Completed,38386.799999999996
ORD-00318,CLI-0084,2025-04-15,SKU-H01,214,Completed,3417.58
ORD-00319,CLI-0060,2025-04-15,SKU-011,276,Completed,17953.8
ORD-00320,CLI-0057,2025-04-15,SKU-H01,395,Completed,6308.150000000001
ORD-00321,CLI-0028,2025-04-15,SKU-H01,311,Completed,4966.67
ORD-00322,CLI-0061,2025-04-15,SKU-003,456,Completed,31796.88
ORD-00323,CLI-0095,2025-04-15,SKU-H01,136,Completed,2171.92
ORD-00324,CLI-0085,2025-04-15,SKU-002,93,Completed,12175.56
ORD-00325,CLI-0037,2025-04-15,SKU-007,313,Completed,27534.61
ORD-00326,CLI-0080,2025-04-16,SKU-012,221,Completed,8979.230000000001
ORD-00327,CLI-0012,2025-04-16,SKU-013,469,Completed,87534.15999999999
ORD-00328,CLI-0097,2025-04-16,SKU-014,170,Completed,27801.8
ORD-00329,CLI-0087,2025-04-16,SKU-012,208,Completed,8451.04
ORD-00330,CLI-0029,2025-04-16,SKU-010,462,Completed,11379.06
ORD-00331,CLI-0026,2025-04-16,SKU-H01,125,Completed,1996.25
ORD-00332,CLI-0004,2025-04-16,SKU-002,73,Completed,9557.16
ORD-00333,CLI-0032,2025-04-16,SKU-004,293,Completed,31242.59
ORD-00334,CLI-0079,2025-04-16,SKU-H01,485,Completed,7745.450000000001
ORD-00335,CLI-0099,2025-04-16,SKU-005,87,Completed,15872.28
ORD-00336,CLI-0059,2025-04-16,SKU-003,262,Completed,18269.260000000002
ORD-00337,CLI-0081,2025-04-16,SKU-014,344,Completed,56257.759999999995
ORD-00338,CLI-0025,2025-04-16,SKU-019,417,Completed,74889.03
ORD-00339,CLI-0090,2025-04-16,SKU-006,246,Completed,14113.019999999999
ORD-00340,CLI-0064,2025-04-16,SKU-H01,254,Completed,4056.38
ORD-00341,CLI-0032,2025-04-16,SKU-H01,125,Completed,1996.25
ORD-00342,CLI-0084,2025-04-16,SKU-018,402,Completed,18270.9
ORD-00343,CLI-0001,2025-04-16,SKU-017,434,Completed,70611.79999999999
ORD-00344,CLI-0099,2025-04-16,SKU-H01,104,Completed,1660.88
ORD-00345,CLI-0100,2025-04-16,SKU-011,267,Completed,17368.35
ORD-00346,CLI-0029,2025-04-16,SKU-H01,140,Completed,2235.8
ORD-00347,CLI-0090,2025-04-16,SKU-H01,315,Completed,5030.55
ORD-00348,CLI-0060,2025-04-16,SKU-H01,75,Completed,1197.75
ORD-00349,CLI-0072,2025-04-16,SKU-H01,177,Completed,2826.69
ORD-00350,CLI-0016,2025-04-16,SKU-Z99,283,Completed,141500.0
ORD-00351,CLI-0018,2025-04-16,SKU-011,460,Completed,29923.0
ORD-00352,CLI-0060,2025-04-16,SKU-H01,391,Completed,6244.27
ORD-00353,CLI-0068,2025-04-16,SKU-012,336,Completed,13651.68
ORD-00354,CLI-0077,2025-04-16,SKU-017,212,Completed,34492.399999999994
