shipment_id,order_id,carrier_name,dispatch_date,promised_delivery_date,actual_delivery_date
SHP-ORD-00187,ORD-00187,FedEx,2025-04-10,2025-04-15,2025-04-17
SHP-ORD-00188,ORD-00188,FedEx,2025-04-10,2025-04-15,2025-04-16
SHP-ORD-00189,ORD-00189,Carrier B,2025-04-10,2025-04-15,2025-04-16
SHP-ORD-00190,ORD-00190,DHL,2025-04-10,2025-04-15,2025-04-15
SHP-ORD-00191,ORD-00191,FedEx,2025-04-10,2025-04-15,2025-04-17
SHP-ORD-00192,ORD-00192,FedEx,2025-04-10,2025-04-15,2025-04-16
SHP-ORD-00193,ORD-00193,Carrier B,2025-04-10,2025-04-15,2025-04-16
SHP-ORD-00194,ORD-00194,DHL,2025-04-10,2025-04-15,2025-04-17
SHP-ORD-00195,ORD-00195,DHL,2025-04-10,2025-04-15,2025-04-15
SHP-ORD-00196,ORD-00196,FedEx,2025-04-10,2025-04-15,2025-04-16
SHP-ORD-00197,ORD-00197,FedEx,2025-04-10,2025-04-15,2025-04-15
SHP-ORD-00198,ORD-00198,Carrier B,2025-04-10,2025-04-15,2025-04-15
SHP-ORD-00199,ORD-00199,FedEx,2025-04-10,2025-04-15,2025-04-17
SHP-ORD-00200,ORD-00200,DHL,2025-04-10,2025-04-15,2025-04-16
SHP-ORD-00201,ORD-00201,Carrier B,2025-04-10,2025-04-15,2025-04-17
SHP-ORD-00202,ORD-00202,FedEx,2025-04-11,2025-04-16,2025-04-17
SHP-ORD-00203,ORD-00203,DHL,2025-04-11,2025-04-16,2025-04-17
SHP-ORD-00204,ORD-00204,DHL,2025-04-11,2025-04-16,2025-04-18
SHP-ORD-00205,ORD-00205,DHL,2025-04-11,2025-04-16,2025-04-18
SHP-ORD-00206,ORD-00206,DHL,2025-04-11,2025-04-16,2025-04-18
SHP-ORD-00207,ORD-00207,FedEx,2025-04-11,2025-04-16,2025-04-17
SHP-ORD-00208,ORD-00208,DHL,2025-04-11,2025-04-16,2025-04-17
SHP-ORD-00209,ORD-00209,DHL,2025-04-11,2025-04-16,2025-04-16
SHP-ORD-00210,ORD-00210,DHL,2025-04-11,2025-04-16,2025-04-16
SHP-ORD-00211,ORD-00211,FedEx,2025-04-11,2025-04-16,2025-04-16
SHP-ORD-00212,ORD-00212,DHL,2025-04-11,2025-04-16,2025-04-17
SHP-ORD-00213,ORD-00213,Carrier B,2025-04-11,2025-04-16,2025-04-17
SHP-ORD-00214,ORD-00214,DHL,2025-04-11,2025-04-16,2025-04-16
SHP-ORD-00215,ORD-00215,DHL,2025-04-11,2025-04-16,2025-04-17
SHP-ORD-00216,ORD-00216,DHL,2025-04-11,2025-04-16,2025-04-16
SHP-ORD-00217,ORD-00217,Carrier B,2025-04-11,2025-04-16,2025-04-16
SHP-ORD-00218,ORD-00218,Carrier B,2025-04-11,2025-04-16,2025-04-16
SHP-ORD-00219,ORD-00219,FedEx,2025-04-11,2025-04-16,2025-04-18
SHP-ORD-00220,ORD-00220,DHL,2025-04-12,2025-04-17,2025-04-18
SHP-ORD-00221,ORD-00221,FedEx,2025-04-12,2025-04-17,2025-04-18
SHP-ORD-00222,ORD-00222,DHL,2025-04-12,2025-04-17,2025-04-17
SHP-ORD-00223,ORD-00223,FedEx,2025-04-12,2025-04-17,2025-04-18
SHP-ORD-00224,ORD-00224,Carrier B,2025-04-12,2025-04-17,2025-04-17
SHP-ORD-00225,ORD-00225,FedEx,2025-04-12,2025-04-17,2025-04-17
SHP-ORD-00226,ORD-00226,DHL,2025-04-12,2025-04-17,2025-04-18
SHP-ORD-00227,ORD-00227,DHL,2025-04-12,2025-04-17,2025-04-19
SHP-ORD-00228,ORD-00228,FedEx,2025-04-12,2025-04-17,2025-04-17
SHP-ORD-00229,ORD-00229,Carrier B,2025-04-12,2025-04-17,2025-04-19
SHP-ORD-00230,ORD-00230,Carrier B,2025-04-12,2025-04-17,2025-04-18
SHP-ORD-00231,ORD-00231,DHL,2025-04-12,2025-04-17,2025-04-17
SHP-ORD-00232,ORD-00232,DHL,2025-04-12,2025-04-17,2025-04-18
SHP-ORD-00233,ORD-00233,FedEx,2025-04-12,2025-04-17,2025-04-19
SHP-ORD-00234,ORD-00234,DHL,2025-04-12,2025-04-17,2025-04-18
SHP-ORD-00235,ORD-00235,FedEx,2025-04-12,2025-04-17,2025-04-17
SHP-ORD-00236,ORD-00236,DHL,2025-04-12,2025-04-17,2025-04-19
SHP-ORD-00237,ORD-00237,Carrier B,2025-04-12,2025-04-17,2025-04-17
SHP-ORD-00238,ORD-00238,FedEx,2025-04-12,2025-04-17,2025-04-18
SHP-ORD-00239,ORD-00239,Carrier B,2025-04-12,2025-04-17,2025-04-18
SHP-ORD-00240,ORD-00240,FedEx,2025-04-12,2025-04-17,2025-04-19
SHP-ORD-00241,ORD-00241,Carrier B,2025-04-12,2025-04-17,2025-04-17
SHP-ORD-00242,ORD-00242,FedEx,2025-04-12,2025-04-17,2025-04-19
SHP-ORD-00243,ORD-00243,DHL,2025-04-12,2025-04-17,2025-04-17
SHP-ORD-00244,ORD-00244,FedEx,2025-04-12,2025-04-17,2025-04-17
SHP-ORD-00245,ORD-00245,Carrier B,2025-04-12,2025-04-17,2025-04-19
SHP-ORD-00246,ORD-00246,DHL,2025-04-12,2025-04-17,2025-04-18
SHP-ORD-00247,ORD-00247,FedEx,2025-04-13,2025-04-18,2025-04-20
SHP-ORD-00248,ORD-00248,DHL,2025-04-13,2025-04-18,2025-04-20
SHP-ORD-00249,ORD-00249,DHL,2025-04-13,2025-04-18,2025-04-20
SHP-ORD-00250,ORD-00250,DHL,2025-04-13,2025-04-18,2025-04-18
SHP-ORD-00251,ORD-00251,Carrier B,2025-04-13,2025-04-18,2025-04-20
SHP-ORD-00252,ORD-00252,DHL,2025-04-13,2025-04-18,2025-04-20
SHP-ORD-00253,ORD-00253,FedEx,2025-04-13,2025-04-18,2025-04-19
SHP-ORD-00254,ORD-00254,FedEx,2025-04-13,2025-04-18,2025-04-20
SHP-ORD-00255,ORD-00255,DHL,2025-04-13,2025-04-18,2025-04-19
SHP-ORD-00256,ORD-00256,DHL,2025-04-13,2025-04-18,2025-04-19
SHP-ORD-00257,ORD-00257,FedEx,2025-04-13,2025-04-18,2025-04-19
SHP-ORD-00258,ORD-00258,FedEx,2025-04-13,2025-04-18,2025-04-18
SHP-ORD-00259,ORD-00259,DHL,2025-04-13,2025-04-18,2025-04-18
SHP-ORD-00260,ORD-00260,Carrier B,2025-04-13,2025-04-18,2025-04-18
SHP-ORD-00261,ORD-00261,FedEx,2025-04-13,2025-04-18,2025-04-19
SHP-ORD-00262,ORD-00262,DHL,2025-04-13,2025-04-18,2025-04-19
SHP-ORD-00263,ORD-00263,DHL,2025-04-13,2025-04-18,2025-04-18
SHP-ORD-00264,ORD-00264,DHL,2025-04-13,2025-04-18,2025-04-19
SHP-ORD-00265,ORD-00265,FedEx,2025-04-13,2025-04-18,2025-04-19
SHP-ORD-00266,ORD-00266,DHL,2025-04-13,2025-04-18,2025-04-18
SHP-ORD-00267,ORD-00267,Carrier B,2025-04-13,2025-04-18,2025-04-18
SHP-ORD-00268,ORD-00268,FedEx,2025-04-13,2025-04-18,2025-04-19
SHP-ORD-00269,ORD-00269,DHL,2025-04-13,2025-04-18,2025-04-18
SHP-ORD-00270,ORD-00270,FedEx,2025-04-14,2025-04-19,2025-04-21
SHP-ORD-00271,ORD-00271,FedEx,2025-04-14,2025-04-19,2025-04-20
SHP-ORD-00272,ORD-00272,DHL,2025-04-14,2025-04-19,2025-04-21
SHP-ORD-00273,ORD-00273,DHL,2025-04-14,2025-04-19,2025-04-20
SHP-ORD-00274,ORD-00274,FedEx,2025-04-14,2025-04-19,2025-04-19
SHP-ORD-00275,ORD-00275,DHL,2025-04-14,2025-04-19,2025-04-21
SHP-ORD-00276,ORD-00276,DHL,2025-04-14,2025-04-19,2025-04-19
SHP-ORD-00277,ORD-00277,DHL,2025-04-14,2025-04-19,2025-04-20
SHP-ORD-00278,ORD-00278,DHL,2025-04-14,2025-04-19,2025-04-19
SHP-ORD-00279,ORD-00279,FedEx,2025-04-14,2025-04-19,2025-04-21
SHP-ORD-00280,ORD-00280,Carrier B,2025-04-14,2025-04-19,2025-04-21
SHP-ORD-00281,ORD-00281,DHL,2025-04-14,2025-04-19,2025-04-19
SHP-ORD-00282,ORD-00282,DHL,2025-04-14,2025-04-19,2025-04-20
SHP-ORD-00283,ORD-00283,Carrier B,2025-04-14,2025-04-19,2025-04-20
SHP-ORD-00284,ORD-00284,FedEx,2025-04-14,2025-04-19,2025-04-19
SHP-ORD-00285,ORD-00285,FedEx,2025-04-14,2025-04-19,2025-04-20
SHP-ORD-00286,ORD-00286,DHL,2025-04-15,2025-04-20,2025-04-20
SHP-ORD-00287,ORD-00287,DHL,2025-04-15,2025-04-20,2025-04-22
SHP-ORD-00288,ORD-00288,Carrier B,2025-04-15,2025-04-20,2025-04-22
SHP-ORD-00289,ORD-00289,Carrier B,2025-04-15,2025-04-20,2025-04-20
SHP-ORD-00290,ORD-00290,FedEx,2025-04-15,2025-04-20,2025-04-21
SHP-ORD-00291,ORD-00291,DHL,2025-04-15,2025-04-20,2025-04-22
SHP-ORD-00292,ORD-00292,DHL,2025-04-15,2025-04-20,2025-04-20
SHP-ORD-00293,ORD-00293,FedEx,2025-04-15,2025-04-20,2025-04-20
SHP-ORD-00294,ORD-00294,DHL,2025-04-15,2025-04-20,2025-04-21
SHP-ORD-00295,ORD-00295,DHL,2025-04-15,2025-04-20,2025-04-20
SHP-ORD-00296,ORD-00296,DHL,2025-04-15,2025-04-20,2025-04-21
SHP-ORD-00297,ORD-00297,FedEx,2025-04-15,2025-04-20,2025-04-22
SHP-ORD-00298,ORD-00298,FedEx,2025-04-15,2025-04-20,2025-04-21
SHP-ORD-00299,ORD-00299,FedEx,2025-04-15,2025-04-20,2025-04-21
SHP-ORD-00300,ORD-00300,Carrier B,2025-04-15,2025-04-20,2025-04-21
SHP-ORD-00301,ORD-00301,FedEx,2025-04-15,2025-04-20,2025-04-21
SHP-ORD-00302,ORD-00302,Carrier B,2025-04-15,2025-04-20,2025-04-21
SHP-ORD-00303,ORD-00303,DHL,2025-04-15,2025-04-20,2025-04-20
SHP-ORD-00304,ORD-00304,DHL,2025-04-15,2025-04-20,2025-04-22
SHP-ORD-00305,ORD-00305,DHL,2025-04-15,2025-04-20,2025-04-21
SHP-ORD-00306,ORD-00306,DHL,2025-04-15,2025-04-20,2025-04-21
SHP-ORD-00307,ORD-00307,DHL,2025-04-16,2025-04-21,2025-04-23
SHP-ORD-00308,ORD-00308,DHL,2025-04-16,2025-04-21,2025-04-21
SHP-ORD-00309,ORD-00309,DHL,2025-04-16,2025-04-21,2025-04-22
SHP-ORD-00310,ORD-00310,DHL,2025-04-16,2025-04-21,2025-04-22
SHP-ORD-00311,ORD-00311,DHL,2025-04-16,2025-04-21,2025-04-23
SHP-ORD-00312,ORD-00312,FedEx,2025-04-16,2025-04-21,2025-04-22
SHP-ORD-00313,ORD-00313,DHL,2025-04-16,2025-04-21,2025-04-22
SHP-ORD-00314,ORD-00314,Carrier B,2025-04-16,2025-04-21,2025-04-23
SHP-ORD-00315,ORD-00315,FedEx,2025-04-16,2025-04-21,2025-04-21
SHP-ORD-00316,ORD-00316,FedEx,2025-04-16,2025-04-21,2025-04-22
SHP-ORD-00317,ORD-00317,FedEx,2025-04-16,2025-04-21,2025-04-23
